Código do Município;Município;Estado;Região;Região Metropolitana;Ano de Referência;Código do Prestador;Prestador;Sigla do Prestador;Natureza Jurídica;POP_TOT - População total do município (Fonte: IBGE):;POP_URB - População urbana do município (Fonte: IBGE);CS001 - Existe coleta seletiva formalizada pela prefeitura no município?;CS050 - População urbana do município atendida com a coleta seletiva do tipo porta a porta executada pela Prefeitura (ou SLU);FN201 - A Prefeitura (Prestadora) cobra pelos serviços de coleta regular, transporte e destinação final de RSU (Antigo campo GE012);FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007);FN221 - Receita orçada com a cobrança de taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE005);FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006);FN223 - Despesa Corrente da Prefeitura durante o ano com TODOS os serviços do município (saúde, educação, pagamento de pessoal, etc.). (Antigo campo GE010);FN224 - A Prefeitura recebeu algum recurso federal para aplicação no setor de manejo de RSU? (Antigo campo GE025);FN225 - Valor repassado (Antigo campo GE026);FN226 - Tipo de recurso (Antigo campo GE028);PO021 - O município definiu mecanismos de participação e controle social?;PO036 - Limpeza pública e manejo de resíduos sólidos;PO040 - As metas do plano para os resíduos sólidos estão sendo alcançadas?;PO042 - O município é integrante de algum CONSÓRCIO INTERMUNICIPAL regulamentado pela Lei nº 11.107/2005 que tenha entre suas atribuições específicas a gestão ou prestação de um ou mais serviços de manejo de RSU (serviços de coleta de resíduos domiciliares ou públicos, operações de aterro sanitário etc.);PO044 - Qual o ano de adesão do município ao referido consórcio intermunicipal?;PO048 - O Município possui Plano Municipal de Gestão Integrada de Resíduos Sólidos (PMGIRS) conforme a Lei nº 12.305/2010 que trata da Política Nacional de Resíduos Sólidos?;PO049 - Quando foi aprovado?;PO050 - O Plano de Gestão de Resíduos Sólidos referido anteriormente é individualizado (somente para o município) ou é intermunicipal (regional) contemplando também outros municípios? ATENÇÃO: Não considerar o Plano Estadual como resposta!!!;PO051 - Quais os demais municípios abrangidos pelo Plano de Gestão [Regional]?;TB014 - Quantidade de trabalhadores de agentes privados envolvidos nos serviços de manejo de RSU (Antigo campo GE016);IN006 - Despesa per capita com manejo de rsu em relação à população urbana
TOTAL da AMOSTRA MG:;---;MG TOTAL da AMOSTRA;;---;---;---;---;---;---;20.109.030,00;17.433.490,00;;5.089.338,00;;1.918.590.469,08;727.304.516,50;675.697.796,13;63.185.042.799,90;;40.403.354,48;;;;;;;;;;;15.133,00;110,05
TOTAL da AMOSTRA MS:;---;MS TOTAL da AMOSTRA;;---;---;---;---;---;---;2.710.450,00;2.335.761,00;;1.338.884,00;;310.210.632,18;62.984.998,16;53.290.575,11;10.928.390.588,19;;5.634.182,98;;;;;;;;;;;2.366,00;132,81
TOTAL da AMOSTRA MT:;---;MT TOTAL da AMOSTRA;;---;---;---;---;---;---;3.135.704,00;2.645.553,00;;545.745,00;;275.258.682,18;270.800.298,59;54.291.116,86;10.777.066.758,30;;4.093.629,66;;;;;;;;;;;1.996,00;104,05
TOTAL da AMOSTRA PA:;---;PA TOTAL da AMOSTRA;;---;---;---;---;---;---;7.233.128,00;5.234.286,00;;172.842,00;;461.691.499,91;76.722.330,10;62.477.648,56;16.376.478.383,50;;32.008.248,44;;;;;;;;;;;2.777,00;88,21
TOTAL da AMOSTRA PB:;---;PB TOTAL da AMOSTRA;;---;---;---;---;---;---;3.180.232,00;2.480.439,00;;410.915,00;;262.026.210,98;62.748.201,86;38.963.536,32;8.161.094.543,68;;240.000,00;;;;;;;;;;;2.374,00;105,64
TOTAL da AMOSTRA PE:;---;PE TOTAL da AMOSTRA;;---;---;---;---;---;---;7.851.610,00;6.525.602,00;;754.821,00;;780.471.382,77;320.500.396,90;302.130.946,60;17.850.011.673,70;;0;;;;;;;;;;;8.946,00;119,6
TOTAL da AMOSTRA PI:;---;PI TOTAL da AMOSTRA;;---;---;---;---;---;---;2.609.382,00;1.844.193,00;;13.500,00;;247.804.046,67;12.100.000,00;9.059.667,89;7.818.658.275,22;;2.493.248,98;;;;;;;;;;;3.701,00;134,37
TOTAL da AMOSTRA PR:;---;PR TOTAL da AMOSTRA;;---;---;---;---;---;---;11.180.487,00;9.682.997,00;;8.353.344,00;;1.116.090.085,86;1.896.444.585,59;636.515.339,93;34.969.884.061,06;;11.899.282,89;;;;;;;;;;;9.081,00;115,26
TOTAL da AMOSTRA RJ:;---;RJ TOTAL da AMOSTRA;;---;---;---;---;---;---;17.066.492,00;16.506.237,00;;5.121.144,00;;3.712.902.881,18;2.476.220.287,23;2.637.974.060,28;63.861.830.209,24;;1.356.811,89;;;;;;;;;;;15.990,00;224,94
TOTAL da AMOSTRA RN:;---;RN TOTAL da AMOSTRA;;---;---;---;---;---;---;2.938.868,00;2.396.548,00;;293.365,00;;379.113.420,71;111.442.066,14;91.550.335,89;7.117.364.618,95;;0;;;;;;;;;;;3.028,00;158,19
TOTAL da AMOSTRA RO:;---;RO TOTAL da AMOSTRA;;---;---;---;---;---;---;1.680.536,00;1.290.158,00;;384.841,00;;91.632.828,15;48.877.779,63;44.042.215,18;3.016.150.110,28;;601.937,92;;;;;;;;;;;639;71,02
TOTAL da AMOSTRA RR:;---;RR TOTAL da AMOSTRA;;---;---;---;---;---;---;593.480,00;486.213,00;;0;;88.786.353,38;6.825.000,00;7.018.745,48;1.764.887.337,25;;0;;;;;;;;;;;615;182,61
TOTAL da AMOSTRA RS:;---;RS TOTAL da AMOSTRA;;---;---;---;---;---;---;10.859.948,00;9.348.478,00;;6.687.962,00;;1.119.914.674,06;826.560.949,04;692.507.004,57;35.956.035.474,67;;9.174.323,61;;;;;;;;;;;10.546,00;119,8
TOTAL da AMOSTRA SC:;---;SC TOTAL da AMOSTRA;;---;---;---;---;---;---;7.070.944,00;6.028.717,00;;4.487.497,00;;897.470.654,28;551.746.840,52;497.850.408,54;25.483.313.391,95;;2.293.555,68;;;;;;;;;;;6.393,00;148,87
TOTAL da AMOSTRA SE:;---;SE TOTAL da AMOSTRA;;---;---;---;---;---;---;2.177.020,00;1.640.508,00;;405.932,00;;266.842.116,26;0;0;5.520.572.988,70;;0;;;;;;;;;;;2.950,00;162,66
TOTAL da AMOSTRA SP:;---;SP TOTAL da AMOSTRA;;---;---;---;---;---;---;45.641.874,00;43.841.846,00;;26.268.139,00;;6.606.528.319,39;1.635.599.337,35;1.535.720.212,25;173.830.430.533,11;;39.177.294,42;;;;;;;;;;;48.516,00;150,69
TOTAL da AMOSTRA TO:;---;TO TOTAL da AMOSTRA;;---;---;---;---;---;---;1.389.510,00;1.123.090,00;;1.485,00;;148.793.010,37;3.402.224,55;20.440.121,60;4.640.461.670,66;;1.124.316,48;;;;;;;;;;;936;132,49
530010;Brasília;DF;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;53001040;Serviço de Limpeza Urbana;SLU/DF;Autarquia;3.055.149;2.950.603;Sim;1.631.110;Sim;482.562.163,34;182.886.863,00;167.244.888,34;21.405.698.051,47;Não;;;Sim;Sim;Não;Não;;Sim;mar/18;Municipal;;3.426;163,55
520005;Abadia de Goiás;GO;Centro-Oeste;RM Goiânia;2020;52000540;Secretaria de Obras;SEMOBI;Administração pública direta;8.958;6.619;Não;;Não;1.188.166,84;;;41.804.612,00;Não;;;;;;Não;;Sim;jun/13;Municipal;;0;179,51
520013;Acreúna;GO;Centro-Oeste;;2020;52001340;PREFEITURA MUNICIPAL DE ACREUNA;PMA;Administração pública direta;22.546;19.674;Não;;Sim;1.849.407,02;0;145.212,42;22.708.813,01;Não;;;;;;Não;;Não;;;;0;94
520020;Água Limpa;GO;Centro-Oeste;;2020;52002040;PREFEITURA MUNICIPAL DE AGUA LIMPA;PMAL;Administração pública direta;1.830;1.296;Não;;Não;55.000,00;;;8.200.000,00;Não;;;;;;Não;;Sim;;Municipal;;0;42,44
520025;Águas Lindas de Goiás;GO;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;52002540;SECRETARIA MUNICIPAL DE MEIO AMBIENTE;smma;Administração pública direta;217.698;217.370;Não;;Sim;8.640.000,00;2.604.480,51;5.953.248,14;292.000.000,00;Não;;;;;;Não;;Sim;dez/20;Municipal;;82;39,75
520030;Alexânia;GO;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;52003040;Secretaria Municipal de Serviços Públicos;SMSP;Administração pública direta;28.010;23.143;Não;;Não;413.172,00;;;95.176.086,60;Não;;;;Sim;Não;Não;;Não;;;;2;17,85
520055;Alto Horizonte;GO;Centro-Oeste;;2020;52005540;Prefeitura Municipal de Alto Horizonte;PMAH;Administração pública direta;6.605;5.664;Sim;;Não;1.353.415,56;;;80.374.924,96;Não;;;;;;Não;;Sim;;Municipal;;25;238,95
520060;Alto Paraíso de Goiás;GO;Centro-Oeste;;2020;52006040;Prefeitura Municipal de Alto Paraíso de Goiás;PMAPG;Administração pública direta;7.688;5.828;Sim;;Não;811.477,50;;;8.000.000,00;Não;;;;;;Não;;Não;;;;12;139,24
520080;Alvorada do Norte;GO;Centro-Oeste;;2020;52008040;PREFEITURA MUNICIPAL DE ALVORADA DO NORTE - GO;PMAN;Administração pública direta;8.705;7.401;Não;;Não;292.957,00;;;31.348.855,00;Não;;;;;;Não;;Não;;;;0;39,58
520082;Amaralina;GO;Centro-Oeste;;2020;52008240;PREFEITURA MUNICIPAL DE AMARALINA;PMA;Administração pública direta;3.845;1.233;Não;;Não;365.000,00;;;5.000.000,00;Não;;;;;;Não;;Não;;;;0;296,03
520085;Americano do Brasil;GO;Centro-Oeste;;2020;52008540;Prefeitura Municipal de Americano do Brasil;PMAB;Administração pública direta;6.164;5.280;Não;;Não;709.580,00;;;18.159.646,24;Não;;;;;;Não;;Sim;;Municipal;;0;134,39
520090;Amorinópolis;GO;Centro-Oeste;;2020;52009040;Prefeitura Municipal de Amorinópolis;PMA;Administração pública direta;3.069;1.846;Não;;Não;200.000,00;;;10.000.000,00;;;;;;;Não;;Não;;;;0;108,34
520110;Anápolis;GO;Centro-Oeste;;2020;52011040;SECRETARIA MUNICIPAL DE MEIO AMBIENTE, HABITAÇÃO E PLANEJAMENTO URBANO;SMMAHPU;Administração pública direta;391.772;384.913;Sim;181.000;Sim;42.528.017,71;34.424.000,00;14.796.655,99;1.243.316.444,33;Não;;;Sim;Sim;Sim;Não;;Sim;out/15;Municipal;;636;110,49
520130;Anicuns;GO;Centro-Oeste;;2020;52013040;PREFEITURA MUNICIPAL DE ANICUNS;PMA;Administração pública direta;21.981;18.801;Não;;Não;615.490,00;;;7.684.623,84;Não;;;Não;Sim;Sim;Não;;Não;;;;0;32,74
520140;Aparecida de Goiânia;GO;Centro-Oeste;RM Goiânia;2020;52014040;Diretoria de Resíduos Sólidos;DRS;Administração pública direta;590.146;589.545;Sim;300.000;Sim;45.437.040,95;0;646.221,00;246.754.563,07;Não;;;;;;Não;;Não;;;;198;77,07
520145;Aparecida do Rio Doce;GO;Centro-Oeste;;2020;52014540;GABRIELLA DE PAULA ASSIS;SLU;Administração pública direta;2.474;1.988;Não;;Não;490.000,00;;;10.800.000,00;Não;;;Não;Não;;Não;;Não;;;;0;246,48
520150;Aporé;GO;Centro-Oeste;;2020;52015040;Prefeitura Municipal de Aporé - GO;PMA;Administração pública direta;4.232;2.828;Não;;Não;229.000,00;;;8.300.000,00;;;;;;;Não;;Sim;mar/18;Municipal;;0;80,98
520160;Araçu;GO;Centro-Oeste;;2020;52016040;Prefeitura Municipal de Araçu;PMA;Administração pública direta;3.486;3.078;Não;;Não;179.662,23;;;14.865.600,55;;;;;;;Não;;Não;;;;0;58,37
520170;Aragarças;GO;Centro-Oeste;;2020;52017040;Prefeitura Municipal de Aragarças;PMA;Administração pública direta;20.273;19.511;Não;;Não;479.273,10;;;35.687.172,26;Não;;;;;;Não;;Não;;;;1;24,56
520180;Aragoiânia;GO;Centro-Oeste;RM Goiânia;2020;52018040;Secretaria Municipal de Obras e Serviços;SMOS;Administração pública direta;10.496;6.936;Não;;Não;448.080,00;;;35.206.682,89;Não;;;Sim;;;Não;;Não;;;;0;64,6
520215;Araguapaz;GO;Centro-Oeste;;2020;52021540;Prefeitura Municipal;PM;Administração pública direta;7.783;5.388;Não;;Não;75.000,00;;;17.727.940,38;Não;;;;Sim;Não;Não;;Não;;;;0;13,92
520235;Arenópolis;GO;Centro-Oeste;;2020;52023540;PREFEITURA MUNICIPAL DE ARENÓPOLIS;PMA;Administração pública direta;2.536;1.485;Não;;Não;50.000,00;;;14.199.165,71;Não;;;;;;Não;;Não;;;;0;33,67
520250;Aruanã;GO;Centro-Oeste;;2020;52025040;Prefeitura Municipal de Aruanã;PMA;Administração pública direta;10.110;8.332;Não;;Não;499.503,93;;;30.071.744,89;Não;;;Não;Sim;O primeiro ano previsto para as metas é posterior a este ano de referência;Não;;Sim;mar/18;Municipal;;0;59,95
520310;Baliza;GO;Centro-Oeste;;2020;52031040;Prefeitura Municipal de Baliza;PMB;Administração pública direta;5.280;1.555;Não;;Não;549.698,28;;;9.094.353,15;Não;;;;;;Não;;Não;;;;4;353,5
520320;Barro Alto;GO;Centro-Oeste;;2020;52032040;Secretaria Municipal de Meio Ambiente e Recursos Naturais;SEMAR;Administração pública direta;11.408;8.182;Não;;Não;1.691.690,88;;;86.393.798,23;Não;;;;;;Não;;Sim;mar/13;Municipal;;57;206,76
520330;Bela Vista de Goiás;GO;Centro-Oeste;RM Goiânia;2020;52033040;Secretaria Municipal de Obras e Limpeza Urbana;SEMOLU;Administração pública direta;30.492;22.297;Sim;22.297;Não;1.390.630,13;;;108.069.402,63;;;;Sim;Sim;Sim;Não;;Sim;mai/16;Municipal;;5;62,37
520340;Bom Jardim de Goiás;GO;Centro-Oeste;;2020;52034040;Prefeitura Municipal de Bom Jardim de Goiás;PMBJG;Administração pública direta;8.869;6.685;Não;;Não;81.333,32;;;11.235.443,45;;;;;;;Não;;Não;;;;30;12,17
520355;Bonfinópolis;GO;Centro-Oeste;RM Goiânia;2020;52035540;Prefeitura Municipal de Bonfinópolis;PMB;Administração pública direta;9.919;9.241;Sim;5.000;Não;498.477,44;;;6.363.412,00;;;;;;;Sim;;Sim;;Municipal;;0;53,94
520357;Bonópolis;GO;Centro-Oeste;;2020;52035740;fundo municipal de saude e meio ambiente;FMS;Administração pública direta;4.493;1.669;Não;;Não;323.809,33;;;14.700.925,00;;;;;;;Não;;Não;;;;0;194,01
520360;Brazabrantes;GO;Centro-Oeste;RM Goiânia;2020;52036040;PREFEITURA MUNICIPAL DE BRAZABRANTES;PMB;Administração pública direta;3.746;2.515;Não;;Não;261.053,00;;;16.159.223,00;;;;;;;Sim;;Sim;out/10;Municipal;;0;103,8
520380;Britânia;GO;Centro-Oeste;;2020;52038040;Prefeitura Municipal;PM;Administração pública direta;5.797;4.780;Não;;Não;995.350,00;;;24.612.342,42;;;;;;;Não;;Sim;;Municipal;;0;208,23
520390;Buriti Alegre;GO;Centro-Oeste;;2020;52039040;PREFEITURA MUNICIPAL DE BURITI ALEGRE;PMBA;Administração pública direta;9.484;8.812;Não;;Não;1.409.109,08;;;39.742.756,12;Não;;;;;;Sim;;Sim;;Municipal;;42;159,91
520393;Buriti de Goiás;GO;Centro-Oeste;;2020;52039340;Prefeitura Municipal de Buriti de Goiás;PMBG;Administração pública direta;2.476;1.678;Sim;;Não;241.674,00;;;13.000.000,00;Não;;;;;;Não;;Não;;;;0;144,03
520396;Buritinópolis;GO;Centro-Oeste;;2020;52039640;Prefeitura Municipal de Buritinópolis;PMB;Administração pública direta;3.283;1.863;Sim;1.200;Não;252.950,00;;;18.391.069,81;Não;;;;Sim;Não;Sim;;Sim;abr/15;Intermunicipal;;0;135,78
520400;Cabeceiras;GO;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;52040040;Prefeitura Municipal de Cabeceiras Go;PMC;Administração pública direta;8.046;6.023;Não;;Não;514.000,00;;;28.064.489,09;Não;;;Sim;Sim;Sim;Não;;Sim;jul/20;Municipal;;0;85,34
520410;Cachoeira Alta;GO;Centro-Oeste;;2020;52041040;Superintendência de Meio Ambiente;SMA;Administração pública direta;12.666;10.060;Não;;Não;2.208.750,00;;;50.748.300,95;Não;;;Sim;Sim;Não;Não;;Sim;out/12;Municipal;;46;219,56
520430;Caçu;GO;Centro-Oeste;;2020;52043040;CAÇU PREFEITURA MUNICIPAL;PMC;Administração pública direta;16.270;13.149;Não;;Não;1.885.804,68;;;67.644.899,35;Não;;;Sim;Sim;Não;Não;;Não;;;;76;143,42
520450;Caldas Novas;GO;Centro-Oeste;;2020;52045040;Prefeitura Municipal de Caldas Novas;PM;Administração pública direta;93.196;89.547;Não;;Sim;2.709.074,00;3.259.882,99;3.273.263,00;286.812.772,00;Não;;;;;;Não;;Não;;;;0;30,25
520455;Caldazinha;GO;Centro-Oeste;RM Goiânia;2020;52045540;Prefeitura Municipal de Caldazinha;PMC;Administração pública direta;3.848;2.220;Sim;2.220;Não;545.358,91;;;19.198.817,12;Não;;;;;;Sim;;Sim;;Municipal;;0;245,66
520460;Campestre de Goiás;GO;Centro-Oeste;;2020;52046040;PREFEITURA MUNICIPAL DE CAMPESTRE;DLU;Administração pública direta;3.649;2.560;Não;;Não;225.000,00;;;12.980.932,00;Não;;;;;;Não;;Não;;;;0;87,89
520465;Campinaçu;GO;Centro-Oeste;;2020;52046540;PREFEITURA MUNICIPAL DE CAMPINAÇU;PMC;Administração pública direta;3.632;2.159;Não;;Não;241.200,00;;;17.000.000,00;Não;;;;;;Não;;Não;;;;0;111,72
520490;Campos Belos;GO;Centro-Oeste;;2020;52049040;PREFEITURA MUNICIPAL DE CAMPOS BELOS;PMC;Administração pública direta;20.007;17.612;Não;;Não;674.810,00;;;53.000.000,00;;;;;;;Não;;Não;;;;0;38,32
520495;Campos Verdes;GO;Centro-Oeste;;2020;52049540;Prefeitura de campos verdes;SLU;Administração pública direta;1.830;1.632;Não;;Não;301.200,00;;;12.000.000,00;Não;;;;;;Não;;Não;;;;0;184,56
520500;Carmo do Rio Verde;GO;Centro-Oeste;;2020;52050040;PREFEITURA MUNICIPAL DE CARMO DO RIO VERDE;PM_CRV;Administração pública direta;10.186;8.048;Sim;;Não;410.962,05;;;29.154.457,57;Não;;;;;;Sim;;Sim;;Intermunicipal;;0;51,06
520505;Castelândia;GO;Centro-Oeste;;2020;52050540;Prefeitura Municipal de Castelândia;PMC;Administração pública direta;3.407;3.132;Não;;Não;328.228,33;;;20.690.283,75;Não;;;;;;Não;;Sim;;Municipal;;0;104,8
520510;Catalão;GO;Centro-Oeste;;2020;52051040;Secretaria Municipal de Meio Ambiente de Catalão;SEMMAC;Administração pública direta;110.983;103.832;Sim;50.000;Não;13.572.927,41;;;328.000.000,00;;;;;;;Não;;Sim;ago/12;Municipal;;107;130,72
520520;Caturaí;GO;Centro-Oeste;RM Goiânia;2020;52052040;PREFEITURA MUNCIPAL DE CATUAÍ;PMC;Administração pública direta;5.101;3.988;Não;;Não;171.000,00;;;13.000.000,00;Não;;;;;;Não;;Sim;;Municipal;;0;42,88
520530;Cavalcante;GO;Centro-Oeste;;2020;52053040;PREFEITURA MUNICIPAL DE CAVALCANTE;PMC;Administração pública direta;9.725;4.910;Não;;Não;156.000,00;;;18.000.000,00;Não;;;Sim;Sim;Não;Não;;Sim;abr/18;Municipal;;0;31,77
520540;Ceres;GO;Centro-Oeste;;2020;52054040;Prefeitura Municipal de Ceres;PMC;Administração pública direta;22.306;21.303;Sim;19.074;Não;2.391.877,01;;;105.742.568,10;Não;;;Sim;Sim;;Sim;;Sim;ago/18;Intermunicipal;[12 municípios]: Nova América - GO, Rubiataba - GO, Santa Isabel - GO, Rialma - GO, Carmo do Rio Verde - GO, Rianápolis - GO, Ipiranga de Goiás - GO, Jaraguá - GO, Jesúpolis - GO, São Francisco de Goiás - GO, São Patrício - GO, Uruana - GO;59;112,28
520545;Cezarina;GO;Centro-Oeste;;2020;52054540;prefeitura municipal de cezarina;pmc;Administração pública direta;8.703;6.454;Não;;Não;1.165.520,00;;;29.659.516,32;Não;;;;;;Não;;Não;;;;30;180,59
520547;Chapadão do Céu;GO;Centro-Oeste;;2020;52054740;Prefeitura Municipal de Chapadão do Céu - GO;SAMA;Administração pública direta;10.486;8.804;Sim;8.804;Não;3.224.751,93;;;66.753.782,74;Não;;;Sim;Sim;Sim;Não;;Sim;nov/13;Municipal;;39;366,28
520549;Cidade Ocidental;GO;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;52054940;SECRETARIA MUNICIPAL DE INFRAESTRUTURA E SERVIÇOS URBANOS;SMISU;Administração pública direta;72.890;56.907;Não;;Sim;5.786.129,47;5.324.859,19;1.384.463,39;111.788.702,68;Não;;;Não;;;Sim;;Não;;;;65;101,68
520551;Cocalzinho de Goiás;GO;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;52055140;PREFEITURA MUNICIPAL DE COCALZINHO DE GOIAS;PMCG;Administração pública direta;20.504;7.590;Sim;3.696;Não;2.257.709,00;;;61.140.661,00;Não;;;Não;Sim;Sim;Não;;Não;;;;0;297,46
520552;Colinas do Sul;GO;Centro-Oeste;;2020;52055240;Prefeitura Municipal de Colinas do Sul;PMCS;Administração pública direta;3.360;2.408;Não;;Não;125.000,00;;;15.000.000,00;Não;;;;;;Não;;Não;;;;0;51,91
520570;Córrego do Ouro;GO;Centro-Oeste;;2020;52057040;Prefeitura Municipal de Córrego do Ouro;PMCO;Administração pública direta;2.290;1.421;Não;;Não;314.000,00;;;15.334.367,50;Não;;;;;;Não;;Não;;;;0;220,97
520580;Corumbá de Goiás;GO;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;52058040;Secretaria Municipal de Infra Estrutura e Obras;SMIO;Administração pública direta;11.169;6.916;Não;;Não;624.958,43;;;37.646.229,00;Não;;;;;;Não;;Não;;;;16;90,36
520590;Corumbaíba;GO;Centro-Oeste;;2020;52059040;PREFEITURA MUNICIPAL DE CORUMBAÍBA;PREF. MUNIC.;Administração pública direta;9.869;7.608;Não;;Não;978.658,67;;;47.577.325,17;Não;;;Não;Sim;Sim;Não;;Sim;dez/15;Municipal;;0;128,64
520620;Cristalina;GO;Centro-Oeste;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;52062040;Prefeitura Municipal de Cristalina - GO;PM;Administração pública direta;60.210;49.664;Não;;Não;2.000.000,00;;;61.342.521,27;;;;;;;Não;;Não;;;;10;40,27
520630;Cristianópolis;GO;Centro-Oeste;;2020;52063040;Prefeitura Municipal de Cristianópolis;PMC;Administração pública direta;2.964;2.499;Não;;Não;687.600,00;;;19.276.400,00;Não;;;;;;Sim;;Não;;;;0;275,15
